,,Total,,,   Monday,,,   Tuesday,,,   Wednesday,,,   Thursday,,,   Friday,,,   Saturday,,,   Sunday,,,   
Time,,sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),
Total	,week-12,$34530,$7625,(73/8/16/10/21),$4567,$946,(8/0/2/1/2),$4053,$1054,(9/0/3/2/2),$3326,$919,(11/0/2/2/3),$4210,$1253,(10/2/4/2/3),$7322,$1414,(13/2/3/1/4),$6084,$1219,(11/2/2/1/4),$4966,$817,(11/2/0/1/3),
	,week-31,$35905,$4976,(45/12/23/4/16),$2761,$395,(4/1/2/0/2),$3334,$640,(5/1/2/1/3),$5141,$639,(5/2/2/1/3),$4097,$720,(8/2/4/1/3),$9274,$1071,(9/3/4/0/4),$6506,$912,(8/1/5/1/1),$4789,$596,(6/2/4/0/0),
	,week-32,$39308,$5661,(43/9/29/10/26),$3056,$539,(3/2/2/1/2),$3618,$621,(4/1/2/1/4),$4633,$654,(5/1/3/1/3),$6393,$846,(6/1/5/2/4),$8114,$1233,(9/2/7/3/4),$8097,$1044,(9/1/5/1/5),$5394,$722,(7/1/5/1/4),
	,week-33,$5318,$764,(9/1/7/1/4),$3823,$536,(5/1/4/1/2),$1494,$228,(4/0/3/0/2),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),

Lunch	,week-12,$9348,$2164,(29/2/5/3/10),$1339,$316,(3/0/1/0/1),$843,$287,(3/0/1/1/1),$770,$222,(4/0/0/0/1),$1301,$356,(4/0/2/1/1),$1709,$234,(3/0/1/0/2),$1555,$380,(5/1/0/0/2),$1828,$366,(7/1/0/1/2),
	,week-13,$8502,$1912,(27/2/2/5/8),$382,$165,(3/0/0/0/1),$566,$173,(2/0/0/1/1),$1394,$215,(3/0/0/1/1),$858,$305,(6/0/0/1/1),$1544,$338,(5/0/0/0/2),$1492,$386,(5/1/1/1/1),$2263,$327,(3/1/1/1/1),
	,week-14,$9477,$1930,(28/5/3/4/9),$339,$141,(2/0/0/0/1),$498,$283,(4/1/1/2/2),$818,$287,(3/1/1/1/2),$1926,$228,(4/0/0/1/1),$1995,$317,(5/1/0/0/1),$2080,$336,(6/1/0/0/1),$1819,$335,(4/1/1/0/1),
	,week-15,$9447,$1865,(25/6/5/6/12),$635,$117,(2/0/0/0/1),$513,$256,(4/1/0/1/2),$803,$266,(3/1/0/1/2),$1118,$257,(3/1/0/1/2),$2077,$280,(4/1/0/0/2),$2198,$351,(4/1/2/1/2),$2101,$334,(5/1/3/2/1),
	,week-16,$8189,$1765,(24/6/8/5/10),$390,$85,(1/0/0/0/1),$503,$148,(3/1/0/0/1),$1322,$263,(6/1/1/0/1),$1182,$305,(4/1/1/1/2),$2111,$344,(4/1/1/0/2),$1626,$358,(3/1/3/3/2),$1053,$258,(3/1/2/1/1),
	,week-17,$10223,$1945,(26/6/6/4/10),$272,$116,(2/0/0/0/1),$599,$245,(3/1/0/0/1),$1281,$186,(3/1/0/1/1),$1690,$289,(5/1/1/1/2),$3450,$360,(4/1/1/0/2),$1684,$408,(5/1/2/1/2),$1243,$337,(4/1/2/1/1),
