,,Total,,,   Monday,,,   Tuesday,,,   Wednesday,,,   Thursday,,,   Friday,,,   Saturday,,,   Sunday,,,   
Time,,sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),
Total	,week-12,$34530,$7625,(73/8/16/10/21),$4567,$946,(8/0/2/1/2),$4053,$1054,(9/0/3/2/2),$3326,$919,(11/0/2/2/3),$4210,$1253,(10/2/4/2/3),$7322,$1414,(13/2/3/1/4),$6084,$1219,(11/2/2/1/4),$4966,$817,(11/2/0/1/3),
	,week-24,$0,$15,(23/4/15/4/8),$0,$0,(2/0/2/0/1),$0,$0,(2/0/2/0/1),$0,$12,(2/0/1/0/1),$0,$0,(4/1/1/1/2),$0,$2,(6/1/2/0/1),$0,$0,(3/1/3/1/1),$0,$0,(4/1/4/2/1),
	,week-25,$31,$0,(17/4/11/3/5),$0,$0,(2/0/1/0/1),$0,$0,(0/0/1/0/0),$0,$0,(3/1/1/0/1),$0,$0,(5/0/2/1/1),$31,$0,(2/2/2/0/1),$0,$0,(2/0/3/2/1),$0,$0,(3/1/1/0/0),
	,week-26,$0,$0,(20/6/10/4/7),$0,$0,(2/0/1/0/1),$0,$0,(0/0/1/0/1),$0,$0,(3/1/2/0/1),$0,$0,(4/2/2/2/1),$0,$0,(4/1/1/0/2),$0,$0,(4/1/2/1/1),$0,$0,(3/1/1/1/0),
	,week-27,$29,$0,(14/4/15/3/5),$0,$0,(2/0/1/0/1),$0,$0,(2/0/2/0/1),$29,$0,(2/1/3/1/0),$0,$0,(3/1/2/1/1),$0,$0,(3/1/2/0/1),$0,$0,(1/0/3/1/1),$0,$0,(1/1/2/0/0),
	,week-28,$0,$0,(13/3/12/2/8),$0,$0,(1/0/0/0/1),$0,$0,(1/0/3/0/1),$0,$0,(2/1/1/0/2),$0,$0,(3/0/2/0/1),$0,$0,(3/1/3/0/2),$0,$0,(2/0/2/1/1),$0,$0,(1/1/1/1/0),
	,week-29,$13,$0,(12/2/10/0/7),$0,$0,(2/0/1/0/1),$13,$0,(2/0/2/0/1),$0,$0,(2/0/1/0/2),$0,$0,(2/0/3/0/1),$0,$0,(2/1/2/0/2),$0,$0,(1/0/1/0/0),$0,$0,(1/1/0/0/0),
	,week-30,$0,$0,(16/1/6/0/11),$0,$0,(2/0/0/0/1),$0,$0,(2/0/1/0/2),$0,$0,(2/0/1/0/2),$0,$0,(2/0/1/0/2),$0,$0,(4/1/2/0/1),$0,$0,(2/0/1/0/2),$0,$0,(2/0/0/0/1),
	,week-31,$0,$0,(16/3/6/0/8),$0,$0,(2/0/0/0/1),$0,$0,(2/0/1/0/2),$0,$0,(3/0/1/0/2),$0,$0,(2/1/1/0/1),$0,$0,(3/1/2/0/2),$0,$0,(3/0/1/0/0),$0,$0,(1/1/0/0/0),
	,week-32,$53,$0,(13/2/8/1/8),$0,$0,(1/1/1/0/1),$0,$0,(2/0/1/0/2),$0,$0,(2/0/1/0/2),$0,$0,(2/0/2/0/1),$53,$0,(4/1/2/1/2),$0,$0,(1/0/1/0/0),$0,$0,(1/0/0/0/0),
	,week-33,$0,$0,(3/0/3/0/3),$0,$0,(1/0/1/0/1),$0,$0,(2/0/2/0/2),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),

12:00-13:00	,week-12,$714,$0,(26/2/4/3/9),$305,$0,(3/0/1/0/1),$84,$0,(3/0/1/1/1),$44,$0,(4/0/0/0/1),$90,$0,(4/0/1/1/1),$131,$0,(3/0/1/0/1),$55,$0,(5/1/0/0/2),$0,$0,(4/1/0/1/2),
	,week-13,$1050,$31,(27/2/2/5/8),$74,$0,(3/0/0/0/1),$70,$0,(2/0/0/1/1),$145,$0,(3/0/0/1/1),$155,$14,(6/0/0/1/1),$330,$0,(5/0/0/0/2),$73,$16,(5/1/1/1/1),$197,$0,(3/1/1/1/1),
	,week-14,$1293,$6,(25/5/3/3/8),$204,$0,(2/0/0/0/1),$205,$0,(3/1/1/1/1),$407,$0,(3/1/1/1/2),$144,$0,(3/0/0/1/1),$267,$0,(5/1/0/0/1),$61,$6,(5/1/0/0/1),$0,$0,(4/1/1/0/1),
	,week-15,$781,$0,(23/6/3/5/12),$154,$0,(2/0/0/0/1),$114,$0,(3/1/0/1/2),$200,$0,(3/1/0/1/2),$153,$0,(3/1/0/1/2),$53,$0,(4/1/0/0/2),$59,$0,(4/1/2/1/2),$42,$0,(4/1/1/1/1),
	,week-16,$631,$0,(20/6/7/3/10),$0,$0,(1/0/0/0/1),$177,$0,(2/1/0/0/1),$73,$0,(3/1/1/0/1),$145,$0,(4/1/1/1/2),$158,$0,(4/1/1/0/2),$75,$0,(3/1/2/1/2),$0,$0,(3/1/2/1/1),
	,week-17,$717,$27,(24/6/6/4/10),$94,$0,(2/0/0/0/1),$30,$0,(3/1/0/0/1),$136,$0,(3/1/0/1/1),$134,$0,(4/1/1/1/2),$274,$0,(4/1/1/0/2),$3,$14,(5/1/2/1/2),$40,$13,(3/1/2/1/1),
	,week-18,$1175,$0,(23/6/7/2/10),$208,$0,(2/0/0/0/1),$65,$0,(3/1/0/0/1),$245,$0,(4/1/1/1/1),$127,$0,(3/1/1/1/2),$392,$0,(6/1/1/0/2),$40,$0,(2/1/2/0/2),$92,$0,(3/1/2/0/1),
	,week-19,$447,$0,(24/6/9/2/13),$0,$0,(2/0/1/0/1),$142,$0,(2/1/0/0/1),$44,$0,(3/1/1/0/1),$74,$0,(3/1/1/0/2),$126,$0,(5/1/1/0/2),$57,$0,(3/1/2/0/2),$0,$0,(6/1/3/2/4),
	,week-20,$734,$12,(22/4/13/2/10),$59,$0,(2/0/1/0/1),$39,$0,(2/0/1/0/1),$61,$0,(2/1/2/0/1),$281,$0,(3/1/3/0/1),$179,$0,(4/0/1/0/2),$49,$1,(6/1/2/1/2),$60,$11,(3/1/3/1/2),
	,week-21,$970,$10,(25/6/14/2/12),$156,$0,(2/0/1/0/1),$137,$0,(2/0/1/0/1),$79,$0,(4/1/1/0/1),$432,$0,(4/1/2/0/2),$63,$0,(5/1/2/0/2),$98,$0,(4/1/3/1/3),$0,$10,(4/2/4/1/2),
	,week-22,$843,$14,(21/6/13/4/10),$297,$0,(2/1/2/2/1),$61,$0,(2/0/1/0/0),$144,$0,(2/1/1/0/1),$42,$0,(3/1/2/0/2),$219,$0,(6/1/2/0/2),$58,$0,(3/1/3/1/2),$16,$14,(3/1/2/1/2),
	,week-23,$1035,$0,(26/5/15/2/10),$132,$0,(2/0/2/0/1),$73,$0,(3/0/2/0/1),$117,$0,(3/1/1/0/1),$349,$0,(3/1/2/0/2),$360,$0,(6/1/3/0/1),$0,$0,(4/1/3/1/2),$0,$0,(5/1/2/1/2),
	,week-24,$625,$0,(24/5/16/4/10),$9,$0,(2/0/2/0/1),$379,$0,(2/0/2/0/1),$47,$0,(2/1/1/0/1),$73,$0,(4/1/1/1/2),$113,$0,(5/1/3/0/2),$0,$0,(4/1/3/1/1),$0,$0,(5/1/4/2/2),
	,week-25,$630,$5,(22/6/14/5/10),$183,$0,(2/0/1/0/1),$0,$0,(0/0/1/0/0),$53,$0,(3/1/1/0/1),$179,$0,(5/1/2/1/2),$153,$0,(4/2/3/0/2),$0,$5,(4/1/3/4/1),$58,$0,(4/1/3/0/3),
	,week-26,$658,$27,(22/6/11/4/12),$71,$0,(2/0/1/0/1),$62,$0,(1/0/1/0/1),$375,$0,(3/1/2/0/1),$0,$0,(4/2/2/1/1),$147,$0,(4/1/2/0/2),$0,$27,(4/1/2/2/4),$0,$0,(4/1/1/1/2),
	,week-27,$644,$0,(21/5/15/3/8),$100,$0,(2/0/1/0/0),$0,$0,(2/0/2/0/1),$79,$0,(3/1/3/1/2),$278,$0,(3/1/2/1/1),$184,$0,(3/1/2/0/2),$0,$0,(4/1/3/1/1),$0,$0,(4/1/2/0/1),
	,week-28,$614,$0,(19/3/16/2/10),$24,$0,(1/0/1/0/1),$33,$0,(2/0/3/0/1),$200,$0,(2/1/1/0/2),$164,$0,(3/0/3/0/1),$147,$0,(4/1/3/0/2),$41,$0,(3/0/3/1/2),$0,$0,(4/1/2/1/1),
	,week-29,$1306,$23,(18/2/14/2/11),$158,$0,(2/0/1/0/1),$305,$23,(2/0/2/0/1),$353,$0,(2/0/1/0/2),$178,$0,(2/0/3/0/1),$280,$0,(3/1/2/0/2),$0,$0,(3/0/3/1/2),$28,$0,(4/1/2/1/2),
	,week-30,$554,$0,(19/1/9/0/13),$0,$0,(2/0/1/0/1),$94,$0,(2/0/1/0/2),$184,$0,(2/0/1/0/2),$196,$0,(3/0/1/0/2),$77,$0,(4/1/2/0/2),$0,$0,(3/0/2/0/2),$0,$0,(3/0/1/0/2),
	,week-31,$822,$0,(19/3/9/0/9),$265,$0,(2/0/1/0/1),$53,$0,(2/0/1/0/2),$101,$0,(3/0/1/0/2),$113,$0,(3/1/1/0/1),$220,$0,(3/1/2/0/2),$38,$0,(3/0/2/0/1),$26,$0,(3/1/1/0/0),
	,week-32,$554,$0,(18/2/13/2/12),$98,$0,(1/1/1/0/1),$193,$0,(2/0/1/0/2),$0,$0,(2/0/1/0/2),$126,$0,(3/0/3/0/1),$134,$0,(4/1/3/1/2),$0,$0,(3/0/2/1/2),$0,$0,(3/0/2/0/2),
	,week-33,$64,$0,(4/0/4/0/2),$0,$0,(2/0/2/0/1),$64,$0,(2/0/2/0/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),

13:00-14:00	,week-12,$3206,$0,(26/2/4/3/9),$441,$0,(3/0/1/0/1),$497,$0,(3/0/1/1/1),$306,$0,(4/0/0/0/1),$313,$0,(4/0/1/1/1),$743,$0,(3/0/1/0/1),$287,$0,(5/1/0/0/2),$616,$0,(4/1/0/1/2),
	,week-13,$3780,$96,(25/2/2/5/8),$213,$0,(3/0/0/0/1),$342,$34,(2/0/0/1/1),$694,$27,(3/0/0/1/1),$568,$0,(5/0/0/1/1),$804,$0,(5/0/0/0/2),$261,$33,(4/1/1/1/1),$895,$0,(3/1/1/1/1),
	,week-14,$3339,$56,(24/5/3/4/8),$64,$0,(2/0/0/0/1),$273,$0,(3/1/1/1/1),$254,$56,(3/1/1/1/2),$705,$0,(3/0/0/1/1),$982,$0,(5/1/0/1/1),$488,$0,(4/1/0/0/1),$570,$0,(4/1/1/0/1),
	,week-15,$3990,$121,(23/6/4/5/12),$410,$0,(2/0/0/0/1),$121,$55,(3/1/0/1/2),$318,$32,(3/1/0/1/2),$807,$32,(3/1/0/1/2),$1645,$0,(4/1/0/0/2),$470,$0,(4/1/2/1/2),$215,$0,(4/1/2/1/1),
	,week-16,$4438,$190,(20/6/7/3/10),$282,$0,(1/0/0/0/1),$252,$33,(2/1/0/0/1),$957,$0,(3/1/1/0/1),$1006,$156,(4/1/1/1/2),$1119,$0,(4/1/1/0/2),$501,$0,(3/1/2/1/2),$318,$0,(3/1/2/1/1),
	,week-17,$6591,$122,(25/6/4/4/10),$149,$0,(2/0/0/0/1),$426,$0,(3/1/0/0/1),$989,$31,(3/1/0/1/1),$1522,$90,(4/1/1/1/2),$2590,$0,(4/1/1/0/2),$524,$0,(5/1/1/1/2),$387,$0,(4/1/1/1/1),
	,week-18,$3328,$306,(24/6/7/3/11),$682,$0,(2/0/0/0/1),$550,$34,(3/1/0/0/1),$402,$57,(4/1/1/1/1),$634,$123,(3/1/1/1/3),$524,$61,(6/1/1/0/2),$139,$29,(3/1/2/1/2),$393,$0,(3/1/2/0/1),
	,week-19,$6752,$65,(24/6/10/2/13),$362,$0,(2/0/1/0/1),$143,$65,(2/1/0/0/1),$786,$0,(3/1/1/0/1),$406,$0,(3/1/1/0/2),$2294,$0,(5/1/1/0/2),$535,$0,(3/1/3/0/2),$2223,$0,(6/1/3/2/4),
	,week-20,$4257,$61,(21/5/13/2/10),$257,$0,(2/0/1/0/1),$468,$0,(2/0/1/0/1),$668,$0,(2/1/2/0/1),$759,$0,(3/1/3/0/1),$1146,$61,(4/1/2/0/2),$528,$0,(5/1/2/1/2),$428,$0,(3/1/2/1/2),
	,week-21,$6864,$125,(25/5/13/2/12),$274,$0,(2/0/1/0/1),$672,$0,(2/0/1/0/1),$998,$0,(4/1/1/0/1),$1745,$23,(4/1/2/0/2),$1762,$45,(5/1/2/0/2),$481,$57,(4/1/3/1/3),$929,$0,(4/1/3/1/2),
	,week-22,$6155,$226,(21/6/12/4/10),$279,$0,(2/1/2/2/1),$286,$0,(2/0/1/0/0),$1191,$0,(2/1/1/0/1),$1409,$26,(3/1/2/0/2),$1823,$158,(6/1/2/0/2),$531,$42,(3/1/3/1/2),$633,$0,(3/1/1/1/2),
	,week-23,$4147,$221,(26/5/15/2/10),$279,$23,(2/0/2/0/1),$348,$126,(3/0/2/0/1),$558,$16,(3/1/1/0/1),$478,$0,(3/1/2/0/2),$1610,$55,(6/1/3/0/1),$370,$0,(4/1/3/1/2),$500,$0,(5/1/2/1/2),
	,week-24,$8455,$117,(24/5/16/4/10),$363,$30,(2/0/2/0/1),$1511,$0,(2/0/2/0/1),$1050,$40,(2/1/1/0/1),$1553,$16,(4/1/1/1/2),$1914,$30,(5/1/3/0/2),$448,$0,(4/1/3/1/1),$1612,$0,(5/1/4/2/2),
	,week-25,$5281,$101,(22/6/14/3/9),$154,$41,(2/0/1/0/1),$0,$0,(0/0/1/0/0),$699,$0,(3/1/1/0/1),$911,$18,(5/1/2/1/2),$2499,$40,(4/2/3/0/2),$517,$0,(4/1/3/2/1),$499,$0,(4/1/3/0/2),
	,week-26,$8173,$25,(22/6/11/3/11),$808,$0,(2/0/1/0/1),$1344,$0,(1/0/1/0/1),$1074,$0,(3/1/2/0/1),$2354,$25,(4/2/2/1/1),$1694,$0,(4/1/2/0/2),$333,$0,(4/1/2/1/3),$562,$0,(4/1/1/1/2),
	,week-27,$4889,$91,(21/5/15/3/8),$528,$0,(2/0/1/0/0),$647,$0,(2/0/2/0/1),$334,$0,(3/1/3/1/2),$1350,$32,(3/1/2/1/1),$1084,$59,(3/1/2/0/2),$358,$0,(4/1/3/1/1),$585,$0,(4/1/2/0/1),
	,week-28,$4758,$0,(19/3/16/2/10),$117,$0,(1/0/1/0/1),$852,$0,(2/0/3/0/1),$498,$0,(2/1/1/0/2),$1042,$0,(3/0/3/0/1),$1542,$0,(4/1/3/0/2),$272,$0,(3/0/3/1/2),$431,$0,(4/1/2/1/1),
	,week-29,$4044,$54,(17/2/14/2/11),$593,$17,(2/0/1/0/1),$328,$36,(1/0/2/0/1),$562,$0,(2/0/1/0/2),$756,$0,(2/0/3/0/1),$736,$0,(3/1/2/0/2),$567,$0,(3/0/3/1/2),$499,$0,(4/1/2/1/2),
	,week-30,$6086,$134,(19/2/9/0/13),$612,$0,(2/0/1/0/1),$555,$0,(2/0/1/0/2),$1286,$0,(2/0/1/0/2),$328,$102,(3/0/1/0/2),$2007,$31,(4/1/2/0/2),$855,$0,(3/0/2/0/2),$440,$0,(3/1/1/0/2),
	,week-31,$5821,$55,(19/4/9/0/9),$546,$0,(2/0/1/0/1),$808,$0,(2/0/1/0/2),$943,$21,(3/1/1/0/2),$1612,$33,(3/1/1/0/1),$1669,$0,(3/1/2/0/2),$73,$0,(3/0/2/0/1),$166,$0,(3/1/1/0/0),
	,week-32,$4942,$127,(17/2/13/2/12),$551,$0,(1/1/1/0/1),$200,$0,(2/0/1/0/2),$811,$33,(2/0/1/0/2),$1265,$0,(3/0/3/0/1),$1290,$93,(4/1/3/1/2),$482,$0,(3/0/2/1/2),$339,$0,(2/0/2/0/2),
	,week-33,$1544,$33,(4/0/4/0/2),$303,$0,(2/0/2/0/1),$1241,$33,(2/0/2/0/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),

14:00-15:00	,week-12,$4216,$615,(26/2/4/3/10),$359,$0,(3/0/1/0/1),$199,$198,(3/0/1/1/1),$358,$180,(4/0/0/0/1),$734,$81,(4/0/1/1/1),$544,$43,(3/0/1/0/2),$878,$45,(5/1/0/0/2),$1141,$66,(4/1/0/1/2),
	,week-13,$2967,$915,(25/2/2/2/8),$93,$165,(3/0/0/0/1),$152,$93,(2/0/0/0/1),$494,$126,(3/0/0/0/1),$133,$290,(5/0/0/1/1),$137,$238,(5/0/0/0/2),$879,$0,(4/1/1/0/1),$1076,$0,(3/1/1/1/1),
	,week-14,$2710,$805,(24/5/3/4/9),$0,$89,(2/0/0/0/1),$19,$283,(4/1/1/2/2),$106,$230,(2/1/1/0/2),$478,$76,(3/0/0/1/1),$531,$126,(5/1/0/1/1),$720,$0,(4/1/0/0/1),$854,$0,(4/1/1/0/1),
	,week-15,$3158,$973,(24/5/4/1/12),$69,$117,(2/0/0/0/1),$241,$201,(4/0/0/0/2),$251,$187,(3/1/0/0/2),$156,$224,(3/1/0/0/2),$283,$242,(4/1/0/0/2),$740,$0,(4/1/2/1/2),$1414,$0,(4/1/2/0/1),
	,week-16,$2379,$1113,(19/4/7/2/9),$48,$85,(1/0/0/0/1),$72,$115,(3/0/0/0/1),$240,$118,(3/1/1/0/1),$30,$148,(2/0/1/0/1),$833,$344,(4/1/1/0/2),$477,$122,(3/1/2/1/2),$674,$177,(3/1/2/1/1),
	,week-17,$1887,$1022,(24/5/4/2/9),$27,$116,(2/0/0/0/1),$103,$168,(3/1/0/0/1),$154,$155,(3/0/0/0/1),$32,$187,(3/1/1/0/1),$565,$158,(4/1/1/0/2),$602,$130,(5/1/1/1/2),$399,$105,(4/1/1/1/1),
	,week-18,$2966,$827,(18/3/7/1/9),$483,$131,(2/0/0/0/1),$16,$117,(2/0/0/0/1),$492,$148,(3/0/1/0/1),$0,$58,(1/0/1/0/1),$500,$267,(4/1/1/0/2),$593,$103,(3/1/2/1/2),$879,$0,(3/1/2/0/1),
	,week-19,$5986,$745,(23/4/10/2/13),$80,$154,(2/0/1/0/1),$25,$79,(1/0/0/0/1),$203,$190,(3/0/1/0/1),$218,$209,(3/1/1/0/2),$1307,$111,(5/1/1/0/2),$1788,$0,(3/1/3/0/2),$2361,$0,(6/1/3/2/4),
	,week-20,$3709,$1087,(21/5/14/2/9),$268,$166,(2/0/1/0/1),$320,$138,(2/0/1/0/1),$356,$241,(2/1/2/0/1),$617,$201,(4/1/3/0/1),$318,$218,(3/1/2/0/1),$1157,$0,(5/1/2/1/2),$669,$121,(3/1/3/1/2),
	,week-21,$7118,$996,(24/6/12/2/8),$189,$105,(2/0/1/0/1),$1955,$32,(2/0/1/0/1),$1956,$94,(4/1/1/0/1),$286,$249,(4/1/2/0/1),$389,$326,(4/2/2/0/1),$1007,$88,(4/1/2/1/1),$1333,$99,(4/1/3/1/2),
	,week-22,$5899,$1022,(17/6/12/4/8),$1971,$110,(2/1/2/2/1),$952,$141,(2/0/1/0/0),$473,$191,(2/1/1/0/1),$732,$254,(3/1/2/0/1),$145,$196,(2/1/2/0/1),$1271,$103,(3/1/2/1/2),$351,$24,(3/1/2/1/2),
	,week-23,$7538,$1163,(22/4/14/2/9),$90,$147,(1/0/2/0/1),$107,$24,(1/0/1/0/0),$687,$202,(3/0/1/0/1),$847,$293,(3/1/2/0/2),$1542,$394,(5/1/3/0/1),$1365,$63,(4/1/3/1/2),$2896,$37,(5/1/2/1/2),
	,week-24,$4761,$1237,(22/4/16/4/10),$256,$154,(1/0/2/0/1),$72,$213,(2/0/2/0/1),$123,$109,(1/1/1/0/1),$162,$285,(5/0/1/1/2),$1271,$290,(4/1/3/0/2),$752,$96,(4/1/3/1/1),$2121,$87,(5/1/4/2/2),
	,week-25,$5661,$860,(21/4/13/3/9),$0,$62,(1/0/0/0/1),$0,$53,(0/0/1/0/0),$176,$166,(3/1/1/0/1),$1759,$283,(5/0/2/1/2),$1151,$215,(4/1/3/0/2),$1233,$38,(4/1/3/2/1),$1339,$41,(4/1/3/0/2),
	,week-26,$7726,$1087,(23/6/11/3/10),$60,$141,(2/0/1/0/1),$520,$59,(1/0/1/0/1),$185,$251,(3/1/2/0/1),$278,$288,(5/2/2/1/0),$3043,$280,(4/1/2/0/2),$1688,$26,(4/1/2/1/3),$1948,$40,(4/1/1/1/2),
	,week-27,$5282,$1096,(20/5/16/4/7),$68,$116,(2/0/2/2/0),$505,$201,(2/0/2/0/1),$2422,$139,(3/1/3/1/2),$292,$285,(3/1/2/0/1),$254,$219,(2/1/2/0/1),$921,$41,(4/1/3/1/1),$817,$91,(4/1/2/0/1),
	,week-28,$5033,$1186,(19/3/16/2/10),$43,$99,(1/0/1/0/1),$415,$200,(2/0/3/0/1),$936,$113,(2/1/1/0/2),$617,$155,(3/0/3/0/1),$666,$343,(4/1/3/0/2),$1022,$67,(3/0/3/1/2),$1331,$207,(4/1/2/1/1),
	,week-29,$6344,$832,(17/2/12/2/11),$447,$106,(2/0/0/0/1),$32,$91,(1/0/1/0/1),$1208,$150,(2/0/1/0/2),$532,$199,(2/0/3/0/1),$1219,$244,(3/1/2/0/2),$1419,$0,(3/0/3/1/2),$1484,$39,(4/1/2/1/2),
	,week-30,$3576,$1017,(16/1/8/0/13),$386,$137,(2/0/1/0/1),$111,$200,(2/0/1/0/2),$144,$128,(2/0/1/0/2),$0,$63,(0/0/0/0/2),$248,$282,(4/0/2/0/2),$642,$204,(3/0/2/0/2),$2043,$0,(3/1/1/0/2),
	,week-31,$4410,$1186,(18/4/9/0/8),$76,$131,(2/0/1/0/1),$261,$162,(2/0/1/0/2),$1194,$178,(3/1/1/0/1),$176,$182,(2/1/1/0/1),$1426,$340,(3/1/2/0/2),$717,$70,(3/0/2/0/1),$557,$119,(3/1/1/0/0),
	,week-32,$3575,$991,(14/2/11/2/12),$0,$164,(1/1/1/0/1),$576,$207,(2/0/1/0/2),$214,$161,(1/0/1/0/2),$990,$175,(3/0/3/0/1),$292,$257,(2/1/1/1/2),$628,$0,(3/0/2/1/2),$872,$24,(2/0/2/0/2),
	,week-33,$1047,$307,(3/0/4/0/2),$858,$179,(2/0/2/0/1),$188,$127,(1/0/2/0/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),

15:00-16:00	,week-12,$782,$1484,(20/2/2/1/7),$155,$316,(3/0/1/1/1),$0,$89,(1/0/0/0/1),$0,$42,(1/0/0/0/0),$114,$274,(4/0/0/0/1),$201,$190,(3/0/1/0/0),$239,$335,(4/1/0/0/2),$69,$235,(4/1/0/0/2),
	,week-13,$477,$751,(12/2/2/1/2),$0,$0,(1/0/0/0/0),$0,$44,(1/0/0/0/0),$0,$60,(1/0/0/0/0),$0,$0,(0/0/0/0/0),$152,$100,(2/0/0/0/0),$229,$267,(4/1/1/0/1),$94,$277,(3/1/1/1/1),
	,week-14,$1613,$888,(17/3/1/1/2),$45,$51,(1/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$597,$152,(4/0/0/0/0),$58,$191,(3/1/0/1/0),$517,$157,(5/1/0/0/1),$394,$335,(4/1/1/0/1),
	,week-15,$774,$770,(10/3/4/1/3),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$46,(1/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$38,(0/1/0/0/0),$345,$351,(4/1/2/1/2),$428,$334,(5/1/2/0/1),
	,week-16,$620,$457,(9/0/5/0/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$145,(5/0/1/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$571,$231,(3/0/2/0/1),$48,$80,(1/0/2/0/0),
	,week-17,$969,$636,(10/1/2/1/2),$0,$0,(0/0/0/0/0),$0,$0,(1/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$201,(3/0/1/0/0),$553,$217,(4/1/0/0/1),$415,$217,(2/0/1/1/1),
	,week-18,$1027,$526,(7/1/3/0/2),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$65,$55,(1/0/0/0/0),$0,$44,(1/0/0/0/0),$278,$161,(2/0/1/0/1),$682,$264,(3/1/2/0/1),
	,week-19,$2715,$1240,(13/3/7/2/8),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$289,(4/1/1/0/0),$482,$375,(3/1/3/0/2),$2233,$575,(6/1/3/2/6),
	,week-20,$1974,$753,(9/2/7/1/4),$0,$0,(0/0/0/0/0),$0,$47,(1/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$58,(0/0/2/0/0),$0,$0,(0/0/1/0/0),$1082,$389,(6/1/2/1/2),$891,$257,(2/1/2/0/2),
	,week-21,$670,$1113,(15/1/6/2/1),$0,$41,(1/0/0/0/0),$0,$177,(2/0/1/0/0),$0,$175,(4/1/0/0/0),$0,$48,(0/0/1/0/0),$0,$0,(0/0/0/0/0),$416,$315,(4/0/1/1/1),$253,$355,(4/0/3/1/0),
	,week-22,$1165,$744,(7/2/5/3/3),$96,$189,(1/1/1/2/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/1/0/0),$239,$246,(3/0/1/1/1),$829,$307,(3/1/2/0/2),
	,week-23,$1232,$802,(8/2/5/2/4),$0,$0,(0/0/0/0/0),$66,$55,(1/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/1),$297,$355,(3/1/3/1/1),$868,$391,(4/1/2/1/2),
	,week-24,$1418,$974,(8/2/8/2/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$73,$106,(1/0/1/0/0),$659,$329,(2/1/3/1/0),$684,$538,(5/1/4/1/0),
	,week-25,$1201,$1146,(11/1/12/1/3),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$0,$59,(0/0/1/0/0),$0,$112,(1/0/1/0/0),$94,$190,(2/0/3/0/0),$445,$433,(4/1/3/1/1),$661,$351,(4/0/4/0/2),
	,week-26,$704,$924,(8/2/6/2/4),$0,$0,(0/0/0/0/0),$0,$55,(0/0/1/0/0),$0,$0,(0/0/0/0/0),$0,$59,(0/0/1/0/0),$0,$108,(1/0/1/0/0),$421,$399,(4/1/2/1/2),$283,$301,(3/1/1/1/2),
	,week-27,$1869,$869,(9/1/8/1/1),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$784,$293,(3/0/3/0/0),$0,$0,(0/0/0/0/0),$0,$0,(0/0/0/0/0),$698,$384,(3/1/3/1/1),$386,$191,(3/0/2/0/0),
	,week-28,$624,$583,(6/1/7/0/4),$0,$0,(0/0/0/0/0),$0,$0,(0/0/1/0/0),$0,$105,(0/1/1/0/1),$0,$44,(1/0/1/0/1),$0,$56,(0/0/1/0/0),$494,$256,(3/0/3/0/1),$129,$120,(2/0/0/0/1),
