,,Total,,,   Monday,,,   Tuesday,,,   Wednesday,,,   Thursday,,,   Friday,,,   Saturday,,,   Sunday,,,   
Time,,sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),
Total	,week-12,34530,7625,(73/8/16/10/21),4567,946,(8/0/2/1/2),4053,1054,(9/0/3/2/2),3326,919,(11/0/2/2/3),4210,1253,(10/2/4/2/3),7322,1414,(13/2/3/1/4),6084,1219,(11/2/2/1/4),4966,817,(11/2/0/1/3),
	,week-20,0,0,(16/3/11/1/5),0,0,(2/0/1/0/1),0,0,(2/0/1/0/1),0,0,(2/1/2/0/1),0,0,(3/1/3/0/1),0,0,(3/0/1/0/1),0,0,(2/1/2/1/0),0,0,(2/0/1/0/0),
	,week-21,0,0,(22/4/14/2/7),0,0,(2/0/1/0/2),0,0,(2/0/1/0/1),0,0,(4/1/1/0/1),0,0,(4/0/2/0/1),0,0,(5/1/2/0/1),0,0,(2/1/4/1/1),0,0,(3/1/3/1/0),
	,week-22,0,0,(1/1/2/0/1),0,0,(1/1/2/0/1),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

12:00-13:00	,week-12,714,0,(26/2/4/3/9),305,0,(3/0/1/0/1),84,0,(3/0/1/1/1),44,0,(4/0/0/0/1),90,0,(4/0/1/1/1),131,0,(3/0/1/0/1),55,0,(5/1/0/0/2),0,0,(4/1/0/1/2),
	,week-13,1050,0,(27/2/2/5/8),74,0,(3/0/0/0/1),70,0,(2/0/0/1/1),145,0,(3/0/0/1/1),155,0,(6/0/0/1/1),330,0,(5/0/0/0/2),73,0,(5/1/1/1/1),197,0,(3/1/1/1/1),
	,week-14,1293,0,(25/5/3/3/8),204,0,(2/0/0/0/1),205,0,(3/1/1/1/1),407,0,(3/1/1/1/2),144,0,(3/0/0/1/1),267,0,(5/1/0/0/1),61,0,(5/1/0/0/1),0,0,(4/1/1/0/1),
	,week-15,781,0,(23/6/3/5/12),154,0,(2/0/0/0/1),114,0,(3/1/0/1/2),200,0,(3/1/0/1/2),153,0,(3/1/0/1/2),53,0,(4/1/0/0/2),59,0,(4/1/2/1/2),42,0,(4/1/1/1/1),
	,week-16,631,0,(20/6/7/3/10),0,0,(1/0/0/0/1),177,0,(2/1/0/0/1),73,0,(3/1/1/0/1),145,0,(4/1/1/1/2),158,0,(4/1/1/0/2),75,0,(3/1/2/1/2),0,0,(3/1/2/1/1),
	,week-17,717,0,(24/6/6/4/10),94,0,(2/0/0/0/1),30,0,(3/1/0/0/1),136,0,(3/1/0/1/1),134,0,(4/1/1/1/2),274,0,(4/1/1/0/2),3,0,(5/1/2/1/2),40,0,(3/1/2/1/1),
	,week-18,1175,0,(23/6/7/2/10),208,0,(2/0/0/0/1),65,0,(3/1/0/0/1),245,0,(4/1/1/1/1),127,0,(3/1/1/1/2),392,0,(6/1/1/0/2),40,0,(2/1/2/0/2),92,0,(3/1/2/0/1),
	,week-19,447,0,(24/6/9/2/13),0,0,(2/0/1/0/1),142,0,(2/1/0/0/1),44,0,(3/1/1/0/1),74,0,(3/1/1/0/2),126,0,(5/1/1/0/2),57,0,(3/1/2/0/2),0,0,(6/1/3/2/4),
	,week-20,734,0,(22/4/13/2/10),59,0,(2/0/1/0/1),39,0,(2/0/1/0/1),61,0,(2/1/2/0/1),281,0,(3/1/3/0/1),179,0,(4/0/1/0/2),49,0,(6/1/2/1/2),60,0,(3/1/3/1/2),
	,week-21,970,0,(25/6/14/2/12),156,0,(2/0/1/0/1),137,0,(2/0/1/0/1),79,0,(4/1/1/0/1),432,0,(4/1/2/0/2),63,0,(5/1/2/0/2),98,0,(4/1/3/1/3),0,0,(4/2/4/1/2),
	,week-22,297,0,(2/1/2/2/1),297,0,(2/1/2/2/1),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

13:00-14:00	,week-12,3206,0,(26/2/4/3/9),441,0,(3/0/1/0/1),497,0,(3/0/1/1/1),306,0,(4/0/0/0/1),313,0,(4/0/1/1/1),743,0,(3/0/1/0/1),287,0,(5/1/0/0/2),616,0,(4/1/0/1/2),
	,week-13,3780,0,(25/2/2/5/8),213,0,(3/0/0/0/1),342,0,(2/0/0/1/1),694,0,(3/0/0/1/1),568,0,(5/0/0/1/1),804,0,(5/0/0/0/2),261,0,(4/1/1/1/1),895,0,(3/1/1/1/1),
	,week-14,3339,0,(24/5/3/4/8),64,0,(2/0/0/0/1),273,0,(3/1/1/1/1),254,0,(3/1/1/1/2),705,0,(3/0/0/1/1),982,0,(5/1/0/1/1),488,0,(4/1/0/0/1),570,0,(4/1/1/0/1),
	,week-15,3990,0,(23/6/4/5/12),410,0,(2/0/0/0/1),121,0,(3/1/0/1/2),318,0,(3/1/0/1/2),807,0,(3/1/0/1/2),1645,0,(4/1/0/0/2),470,0,(4/1/2/1/2),215,0,(4/1/2/1/1),
	,week-16,4438,0,(20/6/7/3/10),282,0,(1/0/0/0/1),252,0,(2/1/0/0/1),957,0,(3/1/1/0/1),1006,0,(4/1/1/1/2),1119,0,(4/1/1/0/2),501,0,(3/1/2/1/2),318,0,(3/1/2/1/1),
	,week-17,6591,0,(25/6/4/4/10),149,0,(2/0/0/0/1),426,0,(3/1/0/0/1),989,0,(3/1/0/1/1),1522,0,(4/1/1/1/2),2590,0,(4/1/1/0/2),524,0,(5/1/1/1/2),387,0,(4/1/1/1/1),
	,week-18,3328,0,(24/6/7/3/11),682,0,(2/0/0/0/1),550,0,(3/1/0/0/1),402,0,(4/1/1/1/1),634,0,(3/1/1/1/3),524,0,(6/1/1/0/2),139,0,(3/1/2/1/2),393,0,(3/1/2/0/1),
	,week-19,6752,0,(24/6/10/2/13),362,0,(2/0/1/0/1),143,0,(2/1/0/0/1),786,0,(3/1/1/0/1),406,0,(3/1/1/0/2),2294,0,(5/1/1/0/2),535,0,(3/1/3/0/2),2223,0,(6/1/3/2/4),
	,week-20,4257,0,(21/5/13/2/10),257,0,(2/0/1/0/1),468,0,(2/0/1/0/1),668,0,(2/1/2/0/1),759,0,(3/1/3/0/1),1146,0,(4/1/2/0/2),528,0,(5/1/2/1/2),428,0,(3/1/2/1/2),
	,week-21,6864,0,(25/5/13/2/12),274,0,(2/0/1/0/1),672,0,(2/0/1/0/1),998,0,(4/1/1/0/1),1745,0,(4/1/2/0/2),1762,0,(5/1/2/0/2),481,0,(4/1/3/1/3),929,0,(4/1/3/1/2),
	,week-22,279,0,(2/1/2/2/1),279,0,(2/1/2/2/1),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

14:00-15:00	,week-12,4216,0,(26/2/4/3/10),359,0,(3/0/1/0/1),199,0,(3/0/1/1/1),358,0,(4/0/0/0/1),734,0,(4/0/1/1/1),544,0,(3/0/1/0/2),878,0,(5/1/0/0/2),1141,0,(4/1/0/1/2),
	,week-13,2967,0,(25/2/2/2/8),93,0,(3/0/0/0/1),152,0,(2/0/0/0/1),494,0,(3/0/0/0/1),133,0,(5/0/0/1/1),137,0,(5/0/0/0/2),879,0,(4/1/1/0/1),1076,0,(3/1/1/1/1),
	,week-14,2710,0,(24/5/3/4/9),0,0,(2/0/0/0/1),19,0,(4/1/1/2/2),106,0,(2/1/1/0/2),478,0,(3/0/0/1/1),531,0,(5/1/0/1/1),720,0,(4/1/0/0/1),854,0,(4/1/1/0/1),
	,week-15,3158,0,(24/5/4/1/12),69,0,(2/0/0/0/1),241,0,(4/0/0/0/2),251,0,(3/1/0/0/2),156,0,(3/1/0/0/2),283,0,(4/1/0/0/2),740,0,(4/1/2/1/2),1414,0,(4/1/2/0/1),
	,week-16,2379,0,(19/4/7/2/9),48,0,(1/0/0/0/1),72,0,(3/0/0/0/1),240,0,(3/1/1/0/1),30,0,(2/0/1/0/1),833,0,(4/1/1/0/2),477,0,(3/1/2/1/2),674,0,(3/1/2/1/1),
	,week-17,1887,0,(24/5/4/2/9),27,0,(2/0/0/0/1),103,0,(3/1/0/0/1),154,0,(3/0/0/0/1),32,0,(3/1/1/0/1),565,0,(4/1/1/0/2),602,0,(5/1/1/1/2),399,0,(4/1/1/1/1),
	,week-18,2966,0,(18/3/7/1/9),483,0,(2/0/0/0/1),16,0,(2/0/0/0/1),492,0,(3/0/1/0/1),0,0,(1/0/1/0/1),500,0,(4/1/1/0/2),593,0,(3/1/2/1/2),879,0,(3/1/2/0/1),
	,week-19,5986,0,(23/4/10/2/13),80,0,(2/0/1/0/1),25,0,(1/0/0/0/1),203,0,(3/0/1/0/1),218,0,(3/1/1/0/2),1307,0,(5/1/1/0/2),1788,0,(3/1/3/0/2),2361,0,(6/1/3/2/4),
	,week-20,3709,0,(21/5/14/2/9),268,0,(2/0/1/0/1),320,0,(2/0/1/0/1),356,0,(2/1/2/0/1),617,0,(4/1/3/0/1),318,0,(3/1/2/0/1),1157,0,(5/1/2/1/2),669,0,(3/1/3/1/2),
	,week-21,7118,0,(24/6/12/2/8),189,0,(2/0/1/0/1),1955,0,(2/0/1/0/1),1956,0,(4/1/1/0/1),286,0,(4/1/2/0/1),389,0,(4/2/2/0/1),1007,0,(4/1/2/1/1),1333,0,(4/1/3/1/2),
	,week-22,1971,0,(2/1/2/2/1),1971,0,(2/1/2/2/1),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

15:00-16:00	,week-12,782,0,(20/2/2/1/7),155,0,(3/0/1/1/1),0,0,(1/0/0/0/1),0,0,(1/0/0/0/0),114,0,(4/0/0/0/1),201,0,(3/0/1/0/0),239,0,(4/1/0/0/2),69,0,(4/1/0/0/2),
	,week-13,477,0,(12/2/2/1/2),0,0,(1/0/0/0/0),0,0,(1/0/0/0/0),0,0,(1/0/0/0/0),0,0,(0/0/0/0/0),152,0,(2/0/0/0/0),229,0,(4/1/1/0/1),94,0,(3/1/1/1/1),
	,week-14,1613,0,(17/3/1/1/2),45,0,(1/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),597,0,(4/0/0/0/0),58,0,(3/1/0/1/0),517,0,(5/1/0/0/1),394,0,(4/1/1/0/1),
	,week-15,774,0,(10/3/4/1/3),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(1/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/1/0/0/0),345,0,(4/1/2/1/2),428,0,(5/1/2/0/1),
	,week-16,620,0,(9/0/5/0/1),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(5/0/1/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),571,0,(3/0/2/0/1),48,0,(1/0/2/0/0),
	,week-17,969,0,(10/1/2/1/2),0,0,(0/0/0/0/0),0,0,(1/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(3/0/1/0/0),553,0,(4/1/0/0/1),415,0,(2/0/1/1/1),
	,week-18,1027,0,(7/1/3/0/2),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),65,0,(1/0/0/0/0),0,0,(1/0/0/0/0),278,0,(2/0/1/0/1),682,0,(3/1/2/0/1),
