,,Total,,,   Monday,,,   Tuesday,,,   Wednesday,,,   Thursday,,,   Friday,,,   Saturday,,,   Sunday,,,   
Time,,sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),
Total	,week-12,34530,7625,(73/8/16/10/21),4567,946,(8/0/2/1/2),4053,1054,(9/0/3/2/2),3326,919,(11/0/2/2/3),4210,1253,(10/2/4/2/3),7322,1414,(13/2/3/1/4),6084,1219,(11/2/2/1/4),4966,817,(11/2/0/1/3),
	,week-18,0,0,(4/4/2/1/4),0,0,(1/0/1/1/0),0,0,(1/1/0/0/1),0,0,(1/1/0/0/1),0,0,(0/1/0/0/1),0,0,(1/1/0/0/1),0,0,(0/0/0/0/0),0,0,(0/0/1/0/0),
	,week-19,264,0,(7/4/8/3/3),0,0,(1/1/1/1/0),0,0,(0/0/0/0/0),0,0,(0/1/0/0/0),0,0,(0/1/0/0/1),0,0,(3/1/1/0/1),0,0,(0/0/1/1/0),264,0,(3/0/5/1/1),
	,week-20,0,0,(4/0/4/0/1),0,0,(1/0/1/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/1/0/0),0,0,(1/0/1/0/1),0,0,(1/0/1/0/0),0,0,(1/0/0/0/0),
	,week-21,0,0,(12/2/1/0/3),0,0,(2/0/1/0/0),0,0,(2/0/0/0/0),0,0,(5/0/0/0/1),0,0,(1/1/0/0/2),0,0,(2/1/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),
	,week-22,0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

17:00-18:00	,week-12,302,0,(36/6/9/5/10),36,0,(5/0/0/1/1),44,0,(6/0/2/1/1),35,0,(4/0/2/0/2),47,0,(5/2/2/1/2),42,0,(6/2/1/1/2),93,0,(6/1/2/1/1),0,0,(4/1/0/0/1),
	,week-13,226,0,(27/3/9/4/9),0,0,(4/0/1/1/1),0,0,(3/0/1/0/2),59,0,(4/0/1/1/1),0,0,(4/0/2/0/1),118,0,(4/1/2/1/2),47,0,(4/1/2/0/1),0,0,(4/1/0/1/1),
	,week-14,445,0,(22/4/8/3/9),0,0,(2/0/0/1/1),0,0,(2/1/1/0/2),48,0,(2/1/1/0/2),0,0,(4/0/1/0/1),113,0,(4/1/2/2/1),282,0,(4/1/2/0/1),0,0,(4/0/1/0/1),
	,week-15,160,0,(18/4/13/4/7),0,0,(1/0/1/1/1),34,0,(2/1/2/0/1),0,0,(1/0/1/1/1),0,0,(3/0/2/0/1),71,0,(3/1/2/1/1),53,0,(4/1/2/1/1),0,0,(4/1/3/0/1),
	,week-16,104,0,(16/12/15/5/9),58,0,(1/0/2/1/1),0,0,(2/2/0/0/1),34,0,(3/2/1/0/1),0,0,(3/2/2/0/2),0,0,(3/2/3/1/2),0,0,(2/2/4/2/1),10,0,(2/2/3/1/1),
	,week-17,57,0,(23/11/11/6/11),0,0,(2/1/1/1/1),37,0,(4/2/0/0/2),0,0,(2/1/1/1/1),0,0,(6/1/1/0/2),19,0,(3/2/2/1/2),0,0,(3/2/3/2/2),0,0,(3/2/3/1/1),
	,week-18,24,0,(26/7/11/6/11),0,0,(3/1/1/1/1),0,0,(2/1/1/1/2),0,0,(2/1/1/1/2),24,0,(4/1/1/0/1),0,0,(5/1/2/1/2),0,0,(6/1/3/1/2),0,0,(4/1/2/1/1),
	,week-19,71,0,(24/7/14/4/9),0,0,(2/1/1/1/1),53,0,(2/1/1/0/1),0,0,(3/1/2/0/2),0,0,(1/1/2/0/1),17,0,(5/1/2/0/1),0,0,(4/1/2/2/1),0,0,(7/1/4/1/2),
	,week-20,27,0,(20/7/12/0/9),15,0,(2/1/1/0/1),0,0,(3/1/0/0/1),0,0,(2/1/2/0/1),11,0,(1/1/2/0/1),0,0,(2/1/3/0/2),0,0,(6/1/2/0/1),0,0,(4/1/2/0/2),
	,week-21,70,0,(22/7/16/3/7),16,0,(3/1/1/0/0),0,0,(3/1/1/0/1),17,0,(5/1/1/0/1),35,0,(4/1/1/0/2),0,0,(2/1/6/1/1),0,0,(3/1/4/1/1),0,0,(2/1/2/1/1),
	,week-22,0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

18:00-19:00	,week-12,1372,0,(40/6/11/5/11),302,0,(5/0/1/1/1),310,0,(6/0/2/1/1),65,0,(6/0/2/0/2),228,0,(6/2/2/1/2),266,0,(7/2/2/1/2),90,0,(6/1/2/1/2),107,0,(4/1/0/0/1),
	,week-13,752,0,(34/3/9/4/11),91,0,(5/0/1/1/1),160,0,(5/0/1/0/2),94,0,(6/0/1/1/1),98,0,(5/0/2/0/2),196,0,(4/1/2/1/2),27,0,(5/1/2/0/2),81,0,(4/1/0/1/1),
	,week-14,425,0,(27/5/10/3/9),0,0,(2/0/0/1/1),98,0,(4/1/2/0/2),28,0,(2/1/1/0/2),0,0,(4/1/1/0/1),74,0,(5/1/2/2/1),128,0,(5/1/3/0/1),93,0,(5/0/1/0/1),
	,week-15,343,0,(29/6/13/4/11),56,0,(3/0/1/1/1),0,0,(3/1/2/0/2),0,0,(3/1/1/1/1),65,0,(4/1/2/0/2),39,0,(5/1/2/1/2),60,0,(6/1/2/1/2),119,0,(5/1/3/0/1),
	,week-16,435,0,(24/12/16/4/11),35,0,(1/0/2/1/1),0,0,(2/2/2/0/1),35,0,(4/2/1/0/2),128,0,(3/2/2/0/2),107,0,(5/2/3/1/2),87,0,(5/2/3/1/2),38,0,(4/2/3/1/1),
	,week-17,1315,0,(33/11/12/6/11),32,0,(3/1/1/1/1),85,0,(3/2/0/0/2),0,0,(3/1/1/1/1),234,0,(7/1/1/0/2),514,0,(5/2/3/1/2),240,0,(7/2/3/2/2),205,0,(5/2/3/1/1),
	,week-18,1055,0,(36/7/13/7/12),0,0,(3/1/1/1/1),0,0,(3/1/1/1/2),49,0,(5/1/1/1/2),83,0,(4/1/1/0/2),376,0,(8/1/4/1/2),219,0,(8/1/3/2/2),324,0,(5/1/2/1/1),
	,week-19,970,0,(34/7/16/6/12),0,0,(2/1/1/1/1),57,0,(3/1/1/0/2),119,0,(4/1/2/0/2),86,0,(4/1/2/0/1),124,0,(8/1/4/1/2),255,0,(6/1/2/2/2),324,0,(7/1/4/2/2),
	,week-20,836,0,(32/7/13/1/11),55,0,(2/1/1/0/1),144,0,(4/1/0/0/1),0,0,(4/1/2/0/1),52,0,(4/1/2/0/2),211,0,(6/1/4/1/2),166,0,(7/1/2/0/2),203,0,(5/1/2/0/2),
	,week-21,452,0,(30/7/17/3/12),77,0,(3/1/2/0/1),0,0,(3/1/1/0/1),208,0,(5/1/2/0/1),23,0,(4/1/1/0/2),87,0,(6/1/5/1/3),0,0,(6/1/4/1/3),53,0,(3/1/2/1/1),
	,week-22,0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

19:00-20:00	,week-12,2981,0,(41/6/11/6/11),505,0,(5/0/1/1/1),299,0,(6/0/2/1/1),573,0,(6/0/2/1/2),387,0,(6/2/2/1/2),291,0,(8/2/2/1/2),590,0,(6/1/2/1/2),333,0,(4/1/0/0/1),
	,week-13,2314,0,(37/3/9/4/11),0,0,(5/0/1/1/1),282,0,(5/0/1/0/2),349,0,(6/0/1/1/1),111,0,(5/0/2/0/2),898,0,(5/1/2/1/2),328,0,(6/1/2/0/2),343,0,(5/1/0/1/1),
	,week-14,2255,0,(33/5/12/3/9),93,0,(3/0/0/1/1),222,0,(4/1/2/0/2),419,0,(4/1/1/0/2),325,0,(5/1/1/0/1),336,0,(5/1/3/2/1),640,0,(6/1/4/0/1),215,0,(6/0/1/0/1),
	,week-15,2823,0,(30/6/13/4/11),224,0,(3/0/1/1/1),347,0,(3/1/2/0/2),188,0,(3/1/1/1/1),630,0,(5/1/2/0/2),561,0,(5/1/2/1/2),494,0,(6/1/2/1/2),375,0,(5/1/3/0/1),
	,week-16,2240,0,(24/12/15/5/11),239,0,(1/0/1/1/1),200,0,(2/2/2/0/1),162,0,(4/2/1/0/2),326,0,(3/2/2/0/2),353,0,(5/2/3/2/2),716,0,(5/2/3/1/2),240,0,(4/2/3/1/1),
	,week-17,2378,0,(33/11/13/6/11),76,0,(3/1/1/1/1),191,0,(3/2/0/0/2),36,0,(3/1/1/1/1),233,0,(7/1/1/0/2),318,0,(5/2/3/1/2),992,0,(7/2/4/2/2),527,0,(5/2/3/1/1),
	,week-18,1909,0,(36/7/13/7/12),40,0,(3/1/1/1/1),236,0,(3/1/1/1/2),0,0,(5/1/1/1/2),565,0,(4/1/1/0/2),257,0,(8/1/4/1/2),435,0,(8/1/3/2/2),372,0,(5/1/2/1/1),
	,week-19,3615,0,(34/7/14/6/12),306,0,(2/1/1/1/1),102,0,(3/1/1/0/2),149,0,(4/1/2/0/2),399,0,(3/1/2/0/1),426,0,(8/1/3/1/2),500,0,(7/1/2/2/2),1728,0,(7/1/3/2/2),
	,week-20,3049,0,(34/7/12/2/11),63,0,(2/1/1/0/1),337,0,(4/1/0/0/1),307,0,(4/1/2/0/1),397,0,(4/1/2/0/2),609,0,(7/1/3/1/2),741,0,(8/1/2/1/2),591,0,(5/1/2/0/2),
	,week-21,2777,0,(32/7/16/3/13),182,0,(3/1/1/0/1),5,0,(3/1/1/0/1),603,0,(5/1/2/0/1),114,0,(4/1/1/0/2),794,0,(6/1/5/1/3),699,0,(7/1/4/1/3),376,0,(4/1/2/1/2),
	,week-22,0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

20:00-21:00	,week-12,7345,0,(41/6/11/6/11),1110,0,(5/0/1/1/1),1016,0,(6/0/2/1/1),786,0,(6/0/2/1/2),941,0,(6/2/2/1/2),1571,0,(8/2/2/1/2),929,0,(6/1/2/1/2),990,0,(4/1/0/0/1),
	,week-13,4262,0,(37/3/9/4/12),216,0,(5/0/1/1/1),521,0,(5/0/1/0/2),550,0,(6/0/1/1/1),267,0,(5/0/2/0/3),921,0,(5/1/2/1/2),1060,0,(6/1/2/0/2),725,0,(5/1/0/1/1),
	,week-14,5407,0,(33/5/12/3/9),1068,0,(3/0/0/1/1),518,0,(4/1/2/0/2),433,0,(4/1/1/0/2),485,0,(5/1/1/0/1),1305,0,(5/1/3/2/1),948,0,(6/1/4/0/1),647,0,(6/0/1/0/1),
	,week-15,5184,0,(30/6/13/4/11),653,0,(3/0/1/1/1),30,0,(3/1/2/0/2),793,0,(3/1/1/1/1),642,0,(5/1/2/0/2),1471,0,(5/1/2/1/2),1265,0,(6/1/2/1/2),327,0,(5/1/3/0/1),
	,week-16,4771,0,(22/11/13/5/10),278,0,(1/1/1/1/1),435,0,(2/2/2/0/1),468,0,(4/2/1/0/2),13,0,(1/0/0/0/1),725,0,(5/2/3/2/2),1429,0,(5/2/3/1/2),1419,0,(4/2/3/1/1),
	,week-17,5682,0,(33/10/13/5/10),948,0,(3/1/1/1/1),400,0,(3/1/0/0/1),765,0,(3/1/1/1/1),603,0,(7/1/1/0/2),566,0,(5/2/3/1/2),971,0,(7/2/4/1/2),1426,0,(5/2/3/1/1),
	,week-18,5644,0,(35/7/13/7/11),600,0,(2/1/1/1/1),383,0,(3/1/1/1/2),473,0,(5/1/1/1/2),560,0,(4/1/1/0/1),1031,0,(8/1/4/1/2),1144,0,(8/1/3/2/2),1450,0,(5/1/2/1/1),
	,week-19,7111,0,(33/7/14/6/12),546,0,(2/1/1/1/1),824,0,(3/1/1/0/2),618,0,(4/1/2/0/2),436,0,(3/1/2/0/1),1101,0,(8/1/3/1/2),1425,0,(6/1/2/2/2),2158,0,(7/1/3/2/2),
	,week-20,6567,0,(32/7/12/2/11),690,0,(2/1/1/0/1),662,0,(4/1/0/0/1),704,0,(4/1/2/0/1),644,0,(4/1/2/0/2),1089,0,(6/1/3/1/2),1438,0,(7/1/2/1/2),1337,0,(5/1/2/0/2),
	,week-21,9491,0,(31/7/17/3/13),1234,0,(3/1/1/0/1),1451,0,(3/1/1/0/1),1187,0,(5/1/2/0/1),1215,0,(4/1/2/0/2),1262,0,(6/1/5/1/3),1966,0,(6/1/4/1/3),1174,0,(4/1/2/1/2),
	,week-22,0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

21:00-22:00	,week-12,8324,0,(42/6/11/4/11),962,0,(5/0/1/1/1),1312,0,(6/0/2/0/1),900,0,(7/0/2/1/2),1301,0,(6/2/2/1/2),1294,0,(8/2/2/1/2),1513,0,(6/1/2/0/2),1038,0,(4/1/0/0/1),
	,week-13,8027,0,(37/3/9/4/11),912,0,(5/0/1/1/1),1196,0,(5/0/1/0/2),1586,0,(6/0/1/1/1),1122,0,(5/0/2/0/2),1190,0,(5/1/2/1/2),733,0,(6/1/2/0/2),1285,0,(5/1/0/1/1),
	,week-14,8499,0,(32/5/12/3/9),676,0,(3/0/0/1/1),560,0,(3/1/2/0/2),863,0,(4/1/1/0/2),788,0,(5/1/1/0/1),1740,0,(5/1/3/2/1),2336,0,(6/1/4/0/1),1533,0,(6/0/1/0/1),
	,week-15,7216,0,(29/5/11/4/10),326,0,(3/0/1/1/1),364,0,(2/0/0/0/1),743,0,(3/1/1/1/1),1242,0,(5/1/2/0/2),1514,0,(5/1/2/1/2),1571,0,(6/1/2/1/2),1453,0,(5/1/3/0/1),
	,week-16,5450,0,(21/12/13/4/9),228,0,(1/1/1/1/1),899,0,(2/2/2/0/1),591,0,(4/2/1/0/2),0,0,(0/0/0/0/0),1257,0,(5/2/3/2/2),1610,0,(5/2/3/1/2),862,0,(4/3/3/0/1),
	,week-17,7404,0,(32/10/13/5/10),393,0,(3/1/1/1/1),391,0,(2/1/0/0/1),591,0,(3/1/1/1/1),1161,0,(7/1/1/0/2),2259,0,(5/2/3/1/2),1604,0,(7/2/4/1/2),1002,0,(5/2/3/1/1),
	,week-18,7574,0,(33/7/13/6/10),528,0,(2/1/1/1/1),657,0,(3/1/1/0/1),1875,0,(5/1/1/1/2),568,0,(2/1/1/0/1),1162,0,(8/1/4/1/2),1815,0,(8/1/3/2/2),966,0,(5/1/2/1/1),
	,week-19,9683,0,(33/7/14/5/16),507,0,(2/1/1/0/1),1032,0,(3/1/1/0/2),1624,0,(4/1/2/0/2),739,0,(3/1/2/0/5),1993,0,(8/1/3/1/2),2145,0,(6/1/2/2/2),1640,0,(7/1/3/2/2),
	,week-20,10660,0,(31/8/12/2/11),1622,0,(2/1/1/0/1),232,0,(3/1/0/0/1),1868,0,(4/1/2/0/1),1447,0,(4/1/2/0/2),1925,0,(6/1/3/1/2),2382,0,(7/2/2/1/2),1179,0,(5/1/2/0/2),
	,week-21,10374,0,(31/7/17/3/13),569,0,(3/1/1/0/1),917,0,(3/1/1/0/1),1839,0,(5/1/2/0/1),977,0,(4/1/2/0/2),2185,0,(6/1/5/1/3),1571,0,(6/1/4/1/3),2314,0,(4/1/2/1/2),
	,week-22,0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

22:00-23:00	,week-12,4713,0,(36/6/11/3/10),347,0,(5/0/1/1/1),270,0,(5/0/2/0/1),229,0,(5/0/2/1/2),49,0,(3/2/2/0/1),1872,0,(9/2/2/1/2),1404,0,(6/1/2/0/2),539,0,(3/1/0/0/1),
	,week-13,7770,0,(30/3/9/2/11),414,0,(4/0/1/0/1),461,0,(3/0/1/0/2),828,0,(6/0/1/0/1),298,0,(2/0/2/0/2),1953,0,(5/1/2/1/2),2540,0,(6/1/2/0/2),1272,0,(4/1/0/1/1),
	,week-14,2971,0,(28/5/10/1/8),150,0,(3/0/0/0/1),0,0,(1/1/1/0/1),294,0,(4/1/1/0/2),381,0,(4/1/1/0/1),1288,0,(4/1/2/1/1),697,0,(5/1/4/0/1),157,0,(7/0/1/0/1),
	,week-15,5713,0,(27/5/11/2/11),307,0,(3/0/1/0/1),184,0,(2/0/0/0/1),531,0,(3/1/1/0/1),852,0,(4/1/2/0/2),2190,0,(5/1/2/1/2),1566,0,(7/1/2/1/3),79,0,(3/1/3/0/1),
	,week-16,5269,0,(16/7/15/4/7),582,0,(1/1/1/1/1),738,0,(2/2/2/0/1),0,0,(1/0/1/0/1),0,0,(0/0/0/0/0),2446,0,(5/2/4/2/2),1104,0,(4/1/4/1/1),397,0,(3/1/3/0/1),
	,week-17,4019,0,(23/8/13/2/9),130,0,(2/0/1/0/1),251,0,(2/1/0/0/1),535,0,(3/1/1/0/1),260,0,(1/1/1/0/1),914,0,(5/1/3/1/2),937,0,(6/2/4/1/2),988,0,(4/2/3/0/1),
	,week-18,3722,0,(25/2/14/3/8),214,0,(1/0/1/0/1),214,0,(1/0/1/0/1),40,0,(2/0/1/0/1),0,0,(2/0/1/0/0),1679,0,(7/0/4/1/2),1135,0,(7/1/4/1/2),437,0,(5/1/2/1/1),
	,week-19,6255,0,(26/4/13/5/10),324,0,(2/0/1/0/1),373,0,(2/1/1/0/1),0,0,(2/0/2/0/1),780,0,(3/1/2/0/2),2047,0,(8/1/3/1/2),2277,0,(6/1/2/2/2),451,0,(3/0/2/2/1),
	,week-20,5534,0,(25/4/13/2/8),429,0,(2/1/1/0/1),375,0,(2/0/0/0/1),566,0,(3/1/2/0/1),332,0,(3/1/2/0/1),2275,0,(6/1/4/1/2),1459,0,(7/0/2/1/2),95,0,(2/0/2/0/0),
	,week-21,7797,0,(29/7/19/3/9),493,0,(2/1/1/0/1),483,0,(3/1/1/0/1),1479,0,(5/1/2/0/1),923,0,(4/1/2/0/1),1718,0,(6/1/5/1/2),1238,0,(6/1/5/1/1),1459,0,(3/1/3/1/2),
	,week-22,0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

23:00-24:00	,week-12,444,0,(10/3/5/0/1),0,0,(0/0/0/0/0),0,0,(1/0/1/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),317,0,(6/2/2/0/1),0,0,(2/1/2/0/0),127,0,(1/0/0/0/0),
	,week-13,184,0,(10/2/5/0/4),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(1/0/1/0/0),0,0,(0/0/0/0/0),184,0,(4/1/2/0/2),0,0,(2/1/2/0/2),0,0,(3/0/0/0/0),
	,week-14,148,0,(5/1/7/1/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/1/0/0),0,0,(3/1/2/1/0),148,0,(2/0/4/0/0),0,0,(0/0/0/0/0),
	,week-15,76,0,(5/2/6/1/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/2/0/0),55,0,(2/1/2/0/0),20,0,(3/1/2/1/0),0,0,(0/0/0/0/0),
	,week-16,0,0,(4/0/7/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(4/0/5/0/0),0,0,(0/0/2/0/0),0,0,(0/0/0/0/0),
	,week-17,0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),
	,week-18,143,0,(1/0/2/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),143,0,(1/0/2/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),
	,week-19,188,0,(3/1/5/2/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),188,0,(1/0/3/1/0),0,0,(2/1/2/1/0),0,0,(0/0/0/0/0),
	,week-20,114,0,(2/1/4/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),114,0,(1/1/4/0/0),0,0,(1/0/0/0/0),0,0,(0/0/0/0/0),
	,week-21,0,0,(1/0/2/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/1/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(1/0/1/0/0),0,0,(0/0/0/0/0),
	,week-22,0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),0,0,(0/0/0/0/0),

